"latitude","longitude","date","species","url","reference","n","location","depth","notes","source"
26.906766,121.768862,2025-02-18,"Bathynomus doederleini","https://www.gbif.org/occurrence/5070119288","Dataset: iNaturalist research-grade observations",1,"China",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 262072370","GBIF"
14.1,109.51667,NA,"","https://www.gbif.org/occurrence/5276459694","Dataset: NA",1,"Viet Nam",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: AM | catalog: P.109291","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5105584301","Bathynomus paracelensis (NMMB-CD006299) for a specimen",1,"South China sea",425,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: National Museum of Marine Biology (NMMB) | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5105584302","Bathynomus paracelensis (NMMB-CD006301) for a specimen",1,"South China Sea",425,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: National Museum of Marine Biology (NMMB) | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5105584303","Bathynomus paracelensis (NMMB-CD006300) for a specimen",1,"South China Sea",425,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: National Museum of Marine Biology (NMMB) | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5105584304","Bathynomus paracelensis (NMMB-CD006302) for a specimen",1,"South China Sea",425,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: National Museum of Marine Biology (NMMB) | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5860141555","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5862673620","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5864294750","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
19.08333,115.25,2023-01-28,"","https://www.gbif.org/occurrence/5864609477","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
19.08,115.25,2023-02-18,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152801808","Dataset: NA",1,"ROC",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
19.08,115.25,2023-02-18,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152814402","Dataset: NA",1,"ROC",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
19.08,115.25,2023-02-18,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152814403","Dataset: NA",1,"ROC",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
-26.377896,153.848157,2023-02-17,"Bathynomus kapala","https://www.gbif.org/occurrence/4413726665","Dataset: iNaturalist research-grade observations",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 148936510","GBIF"
19.08333,115.25,2023-02-18,"","https://www.gbif.org/occurrence/4915393377","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
19.08333,115.25,2023-02-18,"","https://www.gbif.org/occurrence/4915542672","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
19.08333,115.25,2023-02-18,"","https://www.gbif.org/occurrence/4918457673","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
-21.81,153.03,2023-04-19,"Bathynomus immanis","https://www.gbif.org/occurrence/5871940328","Dataset: NA",1,"80 km SE of Elusive reef, Swain Reefs, MEQ",214,"orig_name: Bathynomus immanis Bruce, 1986 | basis: PRESERVED_SPECIMEN | institution: QM | catalog: W29959","GBIF"
-22.83,152.83,2023-04-18,"Bathynomus immanis","https://www.gbif.org/occurrence/5871940335","Dataset: NA",1,"50 km SE of Howard Patch, Swain Reefs, MEQ",249,"orig_name: Bathynomus immanis Bruce, 1986 | basis: PRESERVED_SPECIMEN | institution: QM | catalog: W29949","GBIF"
-23.68,152.52,2023-04-17,"Bathynomus immanis","https://www.gbif.org/occurrence/5887157320","Dataset: NA",1,"NE of Lady Musgrave Reef, MEQ",309,"orig_name: Bathynomus immanis Bruce, 1986 | basis: PRESERVED_SPECIMEN | institution: QM | catalog: W29957","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098337","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695859","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098626","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695861","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098732","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695860","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098736","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695858","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098788","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695856","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098881","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695855","GBIF"
28.7423,-88.3665,2023-06-14,"Bathynomus giganteus","https://www.gbif.org/occurrence/4870098950","Dataset: NMNH Material Samples (USNM)",1,"Macando Wellhead; 500m North of the Macondo Wellhead (500m_N)",1515,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: USNM | catalog: USNM 1695857","GBIF"
29.953844,122.218475,2023-10-22,"Bathynomus doederleini","https://www.gbif.org/occurrence/5008341788","Dataset: iNaturalist research-grade observations",1,"China",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 255186235","GBIF"
28.385855,121.644753,2022-01-24,"Bathynomus doederleini","https://www.gbif.org/occurrence/4528254322","Dataset: iNaturalist research-grade observations",1,"China",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 199119395","GBIF"
16.307917,-86.541984,2022-05-30,"Bathynomus giganteus","https://www.gbif.org/occurrence/4974131276","Dataset: iNaturalist research-grade observations",1,"Honduras",NA,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 238073296","GBIF"
-13.212,96.2416,2022-10-22,"Bathynomus pelor","https://www.gbif.org/occurrence/4070786373","Dataset: IN2022 V08 - Investigating The IOT (part 2)",1,"Indian Ocean Territories: Muirfield Seamount",655.5,"orig_name: Bathynomus pelor Bruce, 1986 | basis: PRESERVED_SPECIMEN | institution: NMV | catalog: J76011","GBIF"
-23.253166,153.87183,2022-11-01,"","https://www.gbif.org/occurrence/4915462089","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
-23.253166,153.87183,2022-11-01,"","https://www.gbif.org/occurrence/4915603508","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
-23.253166,153.87183,2022-11-01,"","https://www.gbif.org/occurrence/4915688217","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
-26.253166,153.85066,2022-11-01,"","https://www.gbif.org/occurrence/4918457688","Dataset: NA",1,"Australia",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
29.922959,122.301183,2022-12-15,"Bathynomus doederleini","https://www.gbif.org/occurrence/5007321947","Dataset: iNaturalist research-grade observations",1,"China",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 255190576","GBIF"
-20.75,114.1667,NA,"Bathynomus pelor","https://www.gbif.org/occurrence/3901850047","Dataset: NA",2,"Australia",NA,"orig_name: Bathynomus pelor Bruce, 1986 | basis: PRESERVED_SPECIMEN | institution: WAM | catalog: C68793","GBIF"
-20.4484,164.8739,2021-07-26,"","https://www.gbif.org/occurrence/3435742805","Dataset: NA",1,"Au large de Hienghène",629.5,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: PRESERVED_SPECIMEN | institution: MNHN | catalog: 2021-2851","GBIF"
24.94,121.9,2021-08-23,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152752777","Dataset: NA",1,"Tai-chi, ROC",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
24.94,121.9,2021-08-23,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152801821","Dataset: NA",1,"Tai-Chi, I-lan",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
24.94,121.9,2021-08-23,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152814417","Dataset: NA",1,"Tai-Chi, I-lan",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
24.94,121.9,2021-08-23,"Bathynomus doederleini","https://www.gbif.org/occurrence/4152849306","Dataset: NA",1,"Tai-chi, ROC",NA,"orig_name: Bathynomus doederleini Ortmann, 1894 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
24.941025,121.90201,2021-08-23,"","https://www.gbif.org/occurrence/4915625620","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:ACQ6007 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
24.941025,121.90201,2021-08-23,"","https://www.gbif.org/occurrence/4918317832","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: NA | catalog: NA","GBIF"
24.941025,121.90201,2021-08-23,"","https://www.gbif.org/occurrence/5860891777","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: Bathynomus A.Milne-Edwards, 1879 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
24.941025,121.90201,2021-08-23,"","https://www.gbif.org/occurrence/5861404194","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
24.941025,121.90201,2021-08-23,"","https://www.gbif.org/occurrence/5862598030","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
24.941025,121.90201,2021-08-23,"","https://www.gbif.org/occurrence/5863154441","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
-33.989578,151.136397,2020-05-27,"Bathynomus kapala","https://www.gbif.org/occurrence/5108029399","Dataset: iNaturalist research-grade observations",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 47545762","GBIF"
-33.513326,151.478058,2020-05-27,"Bathynomus kapala","https://www.gbif.org/occurrence/5108038407","Dataset: iNaturalist research-grade observations",1,"Australia",NA,"orig_name: Bathynomus kapala Griffin, 1975 | basis: HUMAN_OBSERVATION | institution: iNaturalist | catalog: 47545761","GBIF"
19.084,115.25,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902368","Dataset: NA",1,"abou 300 km southwest of Dongsha Island (Pratas Island, Tungsha Island) [東沙島西南方約 300 km 處]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003332","GBIF"
19.084,115.25,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902369","Dataset: NA",1,"abou 300 km southwest of Dongsha Island (Pratas Island, Tungsha Island) [東沙島西南方約 300 km 處]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003331","GBIF"
19.084,115.25,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902370","Dataset: NA",1,"abou 300 km southwest of Dongsha Island (Pratas Island, Tungsha Island) [東沙島西南方約 300 km 處]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003334","GBIF"
19.084,115.25,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902371","Dataset: NA",1,"abou 300 km southwest of Dongsha Island (Pratas Island, Tungsha Island) [東沙島西南方約 300 km 處]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003333","GBIF"
12.75539,-71.58346,2019-01-11,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711584","Dataset: Caracterización de aguas, sedimentos y comunidades marinas después la perforación exploratoria del Pozo Orca 1.",2,"Pozo Orca-1 Costa afuera de La Guajira, Bloque Tayrona Orca",770,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU8380","GBIF"
12.75539,-71.58346,2019-01-11,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711585","Dataset: Caracterización de aguas, sedimentos y comunidades marinas después la perforación exploratoria del Pozo Orca 1.",2,"Pozo Orca-1 Costa afuera de La Guajira, Bloque Tayrona Orca",770,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU8380","GBIF"
22.28,120.38,2019-02-01,"","https://www.gbif.org/occurrence/3442475802","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
22.48,121.11,2019-02-01,"","https://www.gbif.org/occurrence/3443488806","Dataset: NA",1,"Chinese Taipei",NA,"orig_name: BOLD:AEI6207 | basis: MATERIAL_SAMPLE | institution: Mined from GenBank, NCBI | catalog: NA","GBIF"
20.717,116.7,2019-06-17,"Bathynomus jamesi","https://www.gbif.org/occurrence/5008587302","Dataset: NA",1,"north part of South China Sea between",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: MATERIAL_CITATION | institution: TMCD | catalog: TMCD 3326","GBIF"
20.717,116.7,2019-06-17,"Bathynomus jamesi","https://www.gbif.org/occurrence/5008587303","Dataset: NA",1,"north part of South China Sea between",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: MATERIAL_CITATION | institution: TMCD | catalog: TMCD 3327","GBIF"
20.717,116.7,2019-06-17,"Bathynomus jamesi","https://www.gbif.org/occurrence/5008587307","Dataset: NA",1,"north part of South China Sea between",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: MATERIAL_CITATION | institution: TMCD | catalog: TMCD 3328","GBIF"
20.717,116.7,2019-06-17,"Bathynomus jamesi","https://www.gbif.org/occurrence/5008587308","Dataset: NA",1,"north part of South China Sea between",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: MATERIAL_CITATION | institution: TMCD | catalog: TMCD 3329","GBIF"
20.717,116.7,2019-06-17,"Bathynomus jamesi","https://www.gbif.org/occurrence/5008587315","Dataset: NA",1,"north part of South China Sea between",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: MATERIAL_CITATION | institution: TMCD | catalog: TMCD 3330","GBIF"
21.061,116.109,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902366","Dataset: NA",1,"Dongsha Islands (Pratas Islands, Tungsha Islands), the sea area between North Vereker Bank (Beiwei Tan) and Dongsha Island (Pratas Island, Tungsha Island) [東沙群島，北衛灘與東沙群島之間海域]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003329","GBIF"
21.061,116.109,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902367","Dataset: NA",1,"Dongsha Islands (Pratas Islands, Tungsha Islands), the sea area between North Vereker Bank (Beiwei Tan) and Dongsha Island (Pratas Island, Tungsha Island) [東沙群島，北衛灘與東沙群島之間海域]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003328","GBIF"
21.061,116.109,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902377","Dataset: NA",1,"Dongsha Islands (Pratas Islands, Tungsha Islands), the sea area between North Vereker Bank (Beiwei Tan) and Dongsha Island (Pratas Island, Tungsha Island) [東沙群島，北衛灘與東沙群島之間海域]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003330","GBIF"
21.061,116.109,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902392","Dataset: NA",1,"Dongsha Islands (Pratas Islands, Tungsha Islands), the sea area between North Vereker Bank (Beiwei Tan) and Dongsha Island (Pratas Island, Tungsha Island) [東沙群島，北衛灘與東沙群島之間海域]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003327","GBIF"
21.061,116.109,NA,"Bathynomus jamesi","https://www.gbif.org/occurrence/4512902393","Dataset: NA",1,"Dongsha Islands (Pratas Islands, Tungsha Islands), the sea area between North Vereker Bank (Beiwei Tan) and Dongsha Island (Pratas Island, Tungsha Island) [東沙群島，北衛灘與東沙群島之間海域]",NA,"orig_name: Bathynomus jamesi Kou, Chen & Li, 2017 | basis: PRESERVED_SPECIMEN | institution: NA | catalog: TMCD003326","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711454","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711468","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711469","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711470","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711471","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711472","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711473","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711474","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711475","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711476","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711477","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",15,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10133","GBIF"
12.78428,-71.70022,2018-09-18,"Bathynomus giganteus","https://www.gbif.org/occurrence/4414711490","Dataset: Monitoreo ambiental durante de la perforación exploratoria en el Pozo Brama-01, AMI Jarara, Bloque Tayrona, Caribe colombiano.",14,"Pozo Brama entre punta Jir y punta Tarolta, Costa afuera frente a la alta Guajira, Bloque Tayrona Orca",854,"orig_name: Bathynomus giganteus A.Milne-Edwards, 1879 | basis: HUMAN_OBSERVATION | institution: Instituto de Investigaciones Marinas y Costeras (INVEMAR) | catalog: INV CRU10134","GBIF"
